subid,SEX,REST1_FD,AGE
00077,0,0.0464,15.79
00078,0,0.069,10.76
00079,1,0.0878,15.87
00080,1,0.107,12.49
00081,1,0.0579,14.37
00082,0,0.1948,7.66
00083,1,0.0705,7.53
00084,1,0.0545,9.13
00085,0,0.0912,7.51
00086,1,0.0783,11.94
00087,1,0.093,8.69
00088,0,0.0679,15.25
00089,0,0.0951,9.07
00090,1,0.0742,11.37
00091,0,0.236,8.95
00092,1,0.1192,13.61
00093,1,0.0935,9.10
00094,0,0.111,11.88
00095,1,0.0977,8.18
00096,0,0.0603,12.81
00097,1,0.0985,10.30
00098,1,0.0829,11.17
00099,1,0.074,12.52
00100,1,0.1079,10.03
00101,1,0.0545,13.13
00102,0,0.0825,13.99
00103,0,0.097,7.20
00104,1,0.0986,11.39
00105,1,0.116,13.20
00106,1,0.0983,7.12
00107,0,0.0891,6.47
00108,1,0.0718,13.99
00109,0,0.1372,11.91
00110,1,0.0688,10.53
00111,1,0.0619,7.02
00112,0,0.0731,9.61
00113,0,0.1336,11.73
00114,0,0.0659,15.10
00115,1,0.0421,14.53
00116,1,0.0783,15.22
00117,0,0.1722,7.06
00118,0,0.0695,12.18
00119,0,0.1888,10.42
00120,0,0.1185,10.26
00121,0,0.1128,11.09
00122,0,0.0703,7.70
00123,0,0.0647,15.67
00124,0,0.0646,8.95
00125,0,0.1205,8.20
00126,0,0.131,7.67
00127,1,0.148,14.02
00128,0,0.0915,9.42
00129,0,0.0876,9.43
00130,0,0.1074,9.20
00131,1,0.0897,13.86
00132,1,0.0874,14.41
00133,0,0.0693,14.04
00134,1,0.1354,11.31
00135,1,0.2042,8.65
00136,0,0.0498,13.46
00137,0,0.2188,13.31
00138,0,0.0803,6.99
00139,1,0.0792,9.74
00140,1,0.1213,7.82
00141,0,0.1207,9.57
00142,0,0.0601,15.65
00143,1,0.0641,12.78
00144,1,0.0614,9.99
00145,0,0.0743,9.75
00146,0,0.155,12.59
00147,0,0.0502,9.01
00148,0,0.0918,10.72
00149,1,0.0503,14.85
00150,0,0.0721,13.64
00151,1,0.0732,8.16
00152,0,0.0763,13.32
00153,1,0.0806,8.67
00154,0,0.0829,15.02
00155,0,0.0329,13.48
00156,1,0.0691,11.81
00157,0,0.1693,9.56
00158,1,0.0619,8.42
00159,1,0.1042,12.12
00160,1,0.0893,7.45
00161,1,0.0502,14.41
00162,1,0.0705,13.11
00163,0,0.08,10.14
00164,0,0.1809,15.41
00165,1,0.0873,15.79
00166,0,0.0754,13.46
00167,1,0.0721,14.49
00168,0,0.0839,14.27
00169,0,0.0696,7.77
00170,0,0.1041,8.29
00171,0,0.0932,14.86
00172,0,0.0623,7.85
00173,0,0.1427,14.82
00174,0,0.0521,10.30
00175,1,0.0753,7.49
00176,0,0.1086,10.25
00177,0,0.0904,9.99
00178,0,0.1062,11.43
00179,1,0.0868,10.30
00180,0,0.0413,13.73
00181,0,0.1076,7.88
00182,0,0.1388,8.70
00183,1,0.1073,10.32
00184,1,0.0526,12.49
00185,1,0.1796,9.31
00186,0,0.0835,12.92
00187,0,0.0667,12.93
00188,0,0.1485,12.00
00189,0,0.0987,11.26
00190,1,0.0832,11.86
00191,0,0.0746,11.89
00192,1,0.0792,10.19
00193,0,0.0992,6.55
00194,0,0.0907,9.34
00195,0,0.0594,13.60
00196,1,0.2111,11.86
00197,1,0.0852,14.12
00198,1,0.0985,13.00
00199,0,0.085,6.40
00200,1,0.0669,7.00
00201,0,0.0598,7.72
00202,1,0.1612,10.69
00203,0,0.0832,11.06
00204,0,0.1424,12.46
00205,1,0.1544,9.10
00206,0,0.1083,10.85
00207,1,0.0703,7.97
00208,1,0.11,9.72
00209,0,0.1955,10.95
00210,1,0.0696,14.96
00211,1,0.0962,14.11
00212,1,0.0638,8.04
00213,0,0.0814,8.64
00214,0,0.09,13.90
00215,0,0.092,10.02
00216,1,0.0575,7.43
00217,1,0.0881,7.75
00218,1,0.1256,9.05
00219,0,0.0768,15.17
00220,0,0.1516,7.77
00221,0,0.0926,9.87
00222,0,0.1054,11.08
00223,0,0.1331,8.86
00224,0,0.1174,8.48
00225,0,0.099,7.94
00226,1,0.0476,16.76
00227,0,0.1231,7.15
00228,0,0.0518,14.47
00229,0,0.0461,11.78
00230,0,0.1345,11.34
00231,1,0.0585,16.04
00232,1,0.0621,16.50
00233,1,0.101,10.27
00234,0,0.0652,15.47
00235,0,0.0629,6.84
00236,0,0.0729,13.10
00237,1,0.0719,8.38
00238,0,0.076,8.54
00239,0,0.0718,9.29
00240,0,0.3577,10.74
00241,0,0.0822,15.32
00242,0,0.0815,8.45
00243,1,0.1774,9.72
00244,1,0.0954,7.72
00245,0,0.092,12.58
00246,0,0.0819,12.45
00247,0,0.0805,8.51
00248,0,0.1163,11.09
00249,1,0.1117,13.33
00250,0,0.0803,7.79
00251,0,0.0978,6.03
00252,1,0.1367,15.50
00253,0,0.059,14.56
00254,0,0.0945,10.83
00255,0,0.1708,8.43
00256,1,0.0545,11.43
00257,0,0.0923,11.28
00258,0,0.1796,12.74
00259,1,0.0819,15.18
00260,1,0.0705,8.85
00261,1,0.0892,8.09
00262,0,0.0804,11.83
00263,1,0.1235,9.32
00264,0,0.1091,12.72
00265,1,0.1049,15.33
00266,0,0.0814,13.94
00267,0,0.1186,6.52
00268,0,0.1579,9.6
00269,1,0.1072,6.98
00270,1,0.0597,9.59
00271,0,0.0731,15.42
00272,1,0.0995,14.64
00273,0,0.0763,16.03
00274,1,0.0731,6.89
00275,1,0.0844,13.44
00276,1,0.1033,9.90
00277,0,0.0811,7.52
